FECHA,PAIS ORIGEN,FOB U$S,TOTAL KGS NETO
2008-10-27,CHINA,359550.25,575000.0
2009-02-18,RUSSIAN FEDERATION,75664.81,240000.0
2009-03-02,VENEZUELA,5781583.0,20648510.0
2009-03-04,PERU,76244.8,240000.0
2009-03-10,RUSSIAN FEDERATION,76144.81,240000.0
2009-03-12,RUSSIAN FEDERATION,76144.8,240000.0
2009-03-13,RUSSIAN FEDERATION,76144.81,240000.0
2009-03-15,RUSSIAN FEDERATION,392136.0,1000000.0
2009-03-17,RUSSIAN FEDERATION,85681.81,270000.0
2009-03-19,RUSSIAN FEDERATION,85700.71,270000.0
2009-03-20,RUSSIAN FEDERATION,82062.24,258480.0
2009-03-08,LATVIA,457245.0,1500000.0
2009-03-08,RUSSIAN FEDERATION,1575600.0,6000000.0
2009-03-04,RUSSIAN FEDERATION,1891481.38,6300000.0
2009-04-08,VENEZUELA,4232816.5,16502209.0
2009-03-23,RUSSIAN FEDERATION,1513160.0,5500000.0
2009-05-30,UNITED STATES,1733058.75,10069801.0
2009-05-08,RUSSIAN FEDERATION,1871156.0,6800000.0
2009-06-23,RUSSIAN FEDERATION,52480.0,160000.0
2009-06-24,RUSSIAN FEDERATION,78921.6,240000.0
2009-07-04,RUSSIAN FEDERATION,22440.0,66000.0
2009-07-29,RUSSIAN FEDERATION,76493.44,242400.0
2009-07-31,RUSSIAN FEDERATION,76493.44,242400.0
2009-07-15,RUSSIAN FEDERATION,2254500.0,12300000.0
2009-08-03,RUSSIAN FEDERATION,76493.44,242400.0
2009-07-27,RUSSIAN FEDERATION,20400.0,60000.0
2009-08-10,RUSSIAN FEDERATION,30600.0,90000.0
2009-08-07,RUSSIAN FEDERATION,86086.68,274210.0
2009-08-07,RUSSIAN FEDERATION,444.95,1789050.56
2009-08-10,RUSSIAN FEDERATION,350488.56,829389.0
2009-08-10,GERMANY,104.51,144.52
2009-08-17,RUSSIAN FEDERATION,20400.0,60000.0
2009-08-17,RUSSIAN FEDERATION,171829.14,406844.0
2009-08-21,RUSSIAN FEDERATION,10200.0,150000.0
2009-08-21,RUSSIAN FEDERATION,5100.0,92368.42
2009-08-21,RUSSIAN FEDERATION,5250.0,92368.42
2009-08-03,BELARUS,1466651.0,5519951.0
2009-08-26,RUSSIAN FEDERATION,22440.0,66000.0
2009-08-03,BELARUS,1274872.5,5400000.0
2009-09-02,RUSSIAN FEDERATION,30600.0,210000.0
2009-09-08,RUSSIAN FEDERATION,22440.0,66000.0
2009-09-09,RUSSIAN FEDERATION,10245.0,120000.0
2009-09-17,RUSSIAN FEDERATION,61110.0,180000.0
2009-09-14,RUSSIAN FEDERATION,20490.0,60000.0
2009-08-20,RUSSIAN FEDERATION,4049258.0,16210000.0
2009-09-23,RUSSIAN FEDERATION,30330.0,90000.0
2009-09-23,RUSSIAN FEDERATION,20520.0,90000.0
2009-09-25,RUSSIAN FEDERATION,30330.0,90000.0
2009-09-18,LATVIA,2769.75,92700.0
2009-09-18,LATVIA,55393.68,3812384.61
2009-10-06,RUSSIAN FEDERATION,40444.0,120000.0
2009-10-06,RUSSIAN FEDERATION,10140.0,30000.0
2009-10-09,RUSSIAN FEDERATION,60840.0,180000.0
2009-10-06,RUSSIAN FEDERATION,22327.8,66000.0
2009-10-14,RUSSIAN FEDERATION,20580.0,90000.0
2009-09-07,CHINA,3681291.75,11982100.0
2009-10-20,RUSSIAN FEDERATION,2611.75,60000.0
2009-10-25,GERMANY,205.94,381.73
2009-10-07,RUSSIAN FEDERATION,1181250.0,5000000.0
2009-10-27,RUSSIAN FEDERATION,39600.0,120000.0
2009-10-31,RUSSIAN FEDERATION,19800.0,60000.0
2009-11-05,RUSSIAN FEDERATION,19500.01,90000.0
2009-11-07,RUSSIAN FEDERATION,21846.0,66000.0
2009-11-10,LATVIA,19860.0,60000.0
2009-10-22,LITHUANIA,6215000.0,27500000.0
2009-11-04,PERU,10800.0,30000.0
2009-11-12,POLAND,9930.0,30000.0
2009-10-30,BELARUS,1320000.0,5500000.0
2009-10-30,BELARUS,4173201.25,15600700.0
2009-11-26,RUSSIAN FEDERATION,19800.0,60000.0
2009-11-25,RUSSIAN FEDERATION,19800.0,60000.0
2009-11-26,VENEZUELA,1445510.0,5500000.0
2009-12-11,RUSSIAN FEDERATION,19680.0,60000.0
2009-12-16,RUSSIAN FEDERATION,40800.0,120000.0
2009-12-17,RUSSIAN FEDERATION,29700.0,90000.0
2009-12-20,VENEZUELA,4322723.0,16159713.0
2009-12-23,VENEZUELA,1579057.5,5863563.0
2009-12-28,RUSSIAN FEDERATION,19800.0,60000.0
2010-01-06,RUSSIAN FEDERATION,29700.0,90000.0
2010-02-11,RUSSIAN FEDERATION,10050.0,30000.0
2010-01-13,BELARUS,2892093.0,10090000.0
2010-02-07,RUSSIAN FEDERATION,1807740.0,6000000.0
2010-02-07,RUSSIAN FEDERATION,1783500.0,6000000.0
